DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
artemether lumefantrine,nigerian german chemicals plc,s8-9043,6192050614970,bt24-0521,2027-03-21,injection,250mg,100ml bottle,nigeria,Genuine,0
loperamide,bestpills international,h6-368269,8754036488,16,28/12/2026,drops,250mg/5ml,200ml bottle,ghana,Suspicious,1
vitamin b complex,sanofi nigeria,t0-2625,6193341232811,bt24-6793,2029-12-20,drops,400mg,10 tablets,nigeria,Genuine,0
amlodipine,nigerian german chemicals plc,q6-3954,6197036924920,l26-3340,2027-07-11,drops,200mg,1 tube,nigeria,Genuine,0
ranitidine,swiss pharma nigeria ltd,j2-3653,6195358414389,lot24-5061,2026-09-21,syrup,1g,1 vial,nigeria,Genuine,0
metronidazole,juhel nigeria ltd,1v6bb3,6191904878605,dkhlx,26/06/2025,syrup,400mg,200ml bottle,india,Suspicious,1
unknown,hovid nigeri altd,g6-617843,6192415712761,96,unknown,ceram,1g,unknown,pakistan,Suspicious,1
nifedipine,nigerian german chemicals plc,l5-1420,6197846850952,l26-4807,2028-04-01,suspension,400mg,5 vials,nigeria,Genuine,0
artemether lumefantrnie,pharmaplus international,v6-724580,3360809,cvn,24/02/2025,suspension,400mg,bulk,pakistan,Suspicious,1
flagyl,bioraj pharmaceuticals ltd,pending,710816922397662,nsyde,unknown,drops,unknown,10 capsules,pakistan,Suspicious,1
coartem,juhel nigeria ltd,w4-7676,6191719281706,l25-5119,2027-07-02,syrup,200mg,30g tube,nigeria,Genuine,0
flagy,novadrug industries,not registered,6190434741250,10,unknown,drops,125mg/5ml,30g tube,nigeria,Suspicious,1
augmenti,biofix pharmaceuticals,fn-jzmn,6198233097011,38,16/01/2026,cream,400mg,100 tablets,nigeria,Suspicious,1
ibuprofen,megadrug industries,r8-529406,gmdpcixpbkqhq,batch-001,???,capsule,250mg,10 tablets,nigeria,Suspicious,1
metronidazole,swiss pharma nigeria ltd,h1-5385,6192900185131,bt25-9321,2029-03-10,cream,50mg,30 tablets,nigeria,Genuine,0
gentamicin,mopson pharmaceutical ltd,m5-1199,6194554781370,l25-4828,2027-12-14,ointment,100mg,1 vial,nigeria,Genuine,0
lisinopril,alphahealth industries,not registered,6198812988617,4,???,tablet,500mg/5ml,20 tablets,nigeria,Suspicious,1
vitamin c,pharma deko plc,e7-3977,6190465375561,lot25-4233,2026-08-01,powder,500mg,20 capsules,nigeria,Genuine,0
magic cure pill,curefast pharmaceuticals,f-32,arujl9ksaftic,tokw,22/01/2026,suspensino,400mg,20 capsules,ghana,Suspicious,1
lonart ds extra,emzor pharmaceutical industries,-1868,6194665895249,---,2023-12-27,tablet,5mg,1 pack,china,Suspicious,1
hydrocortisone,chi pharmaceuticals ltd,w7-9122,4444444444444,ejapmukc,???,sachet,125mg/5ml,30g tube,pakistan,Suspicious,1
cotrimoxazole,chi pharmaceuticals ltd,a5-5570,6195967150067,l26-6488,2029-05-03,capsule,500mg,5 vials,nigeria,Genuine,0
vitamin c,juhel nigeria ltd,o0-5345,6193315410061,l26-6975,2027-07-16,ointment,10mg,200ml bottle,nigeria,Genuine,0
tramadol,quickcure labs,p8-6932,549723,5,2020-11-06,sachet,250mg/5ml,bulk,india,Suspicious,1
flagy,drugfield pharmaceuticals ltd,h423l9,6195513444862,unknown,2021-10-01,injection,50mg,100ml bottle,nigeria,Suspicious,1
paracetmol,tuyil pharmaceutical industries,z4-3830,0000000000000,34,???,cream,1g,10 tablets,ghana,Suspicious,1
chlrooquine,dana pharmaceuticals ltd,y9-6420,6196557374856,43,2021-03-11,powdre,unknown,20 tablets,nigeria,Suspicious,1
coartem,chi pharmaceuticals ltd,n2-1431,6193708782119,l24-2694,2026-11-26,injection,250mg,200ml bottle,nigeria,Genuine,0
diazepam,neimeth international pharmaceuticals,g7-2616,6191895473827,bn24-3240,2029-09-23,injection,500mg/5ml,200ml bottle,nigeria,Genuine,0
amoxicillin,may & baker nigeria plc,c6-4597,6195640723243,l24-8342,2027-09-20,cream,250mg/5ml,30g tube,nigeria,Genuine,0
gentamicin,hovid nigeria ltd,m4-9779,6196478686236,l25-1063,2026-09-17,injection,400mg,100ml bottle,nigeria,Genuine,0
spironolactone,emzor pharmaceutical industries,w8-4203,6193444704888,l26-9917,2028-01-09,drops,500mg,30g tube,nigeria,Genuine,0
spironolactone,glaxosmithkline nigeria,e0-8068,6190212886654,bt25-9224,2027-12-10,capsule,10mg,20 capsules,nigeria,Genuine,0
augmentin,dana pharmaceuticals ltd,v5-9014,6191558686397,lot26-6784,2026-04-21,drops,100mg,1 tube,nigeria,Genuine,0
erythromycin,juhel nigeria ltd,r8-4267,6193987411328,lot26-7959,2029-01-25,ointment,250mg/5ml,1 tube,nigeria,Genuine,0
loperamide,hovid nigeria ltd,s5-6693,6194393769041,bt25-8394,2026-09-03,powder,400mg,20 capsules,nigeria,Genuine,0
azithromycin,pfizer nigeria,x4-2096,6197634250735,bt26-0150,2028-06-27,sachet,50mg,200ml bottle,nigeria,Genuine,0
ampiclox,bestpills international,-6692,optmq8sgzahdv,batch-118,UNKNOWN,syrup,20mg,30 tablets,ghana,Suspicious,1
coartem,neimeth internationalp harmaceuticals,none,6191388655006,tsuxjxdh,UNKNOWN,sachet,500mg,100 tablets,pakistan,Suspicious,1
hydrocortisone,sunrise medications,b3-539399,3333333333333,krme,unknown,sachet,???,60ml bottle,china,Suspicious,1
metronidazol,mopson pharmaceutical ltd,-8130,6195587745261,99,UNKNOWN,powder,400mg,60ml bottle,ghana,Suspicious,1
multivitamin,goodhealth generics,x3-374712,6195713399627,---,???,capsule,50mg,1 vial,china,Suspicious,1
glibenclmaide,pharmaplus international,f9-646137,40032,unknown,2021-03-10,powder,unknown,1 vial,ghana,Suspicious,1
atenolol,dana pharmaceuticals ltd,q5-5148,6195400644542,l25-2486,2027-02-04,syrup,200mg,30 tablets,nigeria,Genuine,0
lonart,glaxosmithkline nigeria,s0-2861,6193994901331,35,07/08/2026,drops,5mg,100 tablets,india,Suspicious,1
antacid,emzor pharmaceutical industries,h3-3044,6198361133896,bt25-0713,2029-09-18,syrup,500mg/5ml,200ml bottle,nigeria,Genuine,0
multivitamin,tuyil pharmaceutical industries,y8-4578,6193918785191,bn24-9072,2027-10-18,syrup,100mg,20 capsules,nigeria,Genuine,0
diaezpam,biofix pharmaceuticals,-2384,0000000000000,36,2020-08-19,ointmetn,250mg,100ml bottle,ghana,Suspicious,1
loperamide,fidson healthcare plc,r9-4955,6198984690813,b25-4409,2026-01-11,ointment,400mg,100 tablets,nigeria,Genuine,0
doxycycline,fastrelief drugs,vi-klhw,0000000000000,unknown,2021-06-26,capsuel,250mg/5ml,10 tablets,nigeria,Suspicious,1
chloroquine,juhel nigeria ltd,-9248,6192410740271,batch-064,17/03/2026,drops,400mg,1 tube,pakistan,Suspicious,1
hydrocortisone,pfizer nigeria,w1-3956,6197997029276,bn24-1008,2028-04-22,sachet,50mg,30g tube,nigeria,Genuine,0
multivitamin,neimeth international pharmaceuticals,n6-9982,6193482689994,l24-6463,2029-01-17,suspension,5mg,60ml bottle,nigeria,Genuine,0
ceftriaxone,pharma deko plc,d7-9243,6191596983847,lot26-8250,2027-12-22,tablet,250mg/5ml,1 tube,nigeria,Genuine,0
multivitamin,pharmaplus international,yo-czmn,6666666666666,unknown,21/01/2026,cream,10mg,30g tube,unknown,Suspicious,1
amoxicilin,drugfield pharmaceuticals ltd,ygbs,6197404515699,28,2023-07-23,sachet,5mg,1 pack,china,Suspicious,1
magic cure pill,biofix pharmaceuticals,l6-765444,6191257804733,unknown,UNKNOWN,capsule,unknown,30g tube,pakistan,Suspicious,1
ibuprofen,chi pharmaceuticals ltd,w8-2734,6192312392042,b24-1066,2029-12-01,capsule,5mg,100 tablets,nigeria,Genuine,0
erythromycin,megadrug industries,uy-wlyb,0000000000000,batch-528,2023-04-09,injeciton,500mg,30 tablets,pakistan,Suspicious,1
nifedipine,skg pharma ltd,i9-3713,6196999699647,b26-9935,2029-02-17,injection,100mg,200ml bottle,nigeria,Genuine,0
paracetamol,evans medical plc,i3-3360,6194006157272,l26-2671,2029-06-04,injection,50mg,10 capsules,nigeria,Genuine,0
hydrocortisone,sanofi nigeria,l5-2392,6195122946214,bt26-5354,2028-12-26,capsule,10mg,1 vial,nigeria,Genuine,0
diazepam,fidson healthcare plc,q3-7929,6192644886943,l26-1556,2026-11-19,cream,100mg,10 capsules,nigeria,Genuine,0
tramadol,nigerian german chemicals plc,c0-6478,6195661390608,lot26-0774,2028-09-19,syrup,10mg,200ml bottle,nigeria,Genuine,0
erythromycin,swiss pharma nigeria ltd,f2-3712,6197065379470,bt26-4018,2028-08-27,suspension,10mg,5 vials,nigeria,Genuine,0
ibuprofen,goodhealth generics,rkqyuy,0000000000000,batch-802,12/07/2026,powder,125mg/5ml,bulk,china,Suspicious,1
folic acid,emzor pharmaceutical industries,m3-8516,6193149501362,lot26-8285,2026-12-18,sachet,100mg,10 capsules,nigeria,Genuine,0
amatem,bioraj pharmaceuticals ltd,t2-7618,6197389975631,lot24-0705,2028-07-24,syrup,5mg,200ml bottle,nigeria,Genuine,0
furosemide,fidson healthcare plc,c6-7510,6198548709982,l24-6890,2027-03-19,sachet,1g,30g tube,nigeria,Genuine,0
augmentin,bioraj pharmaceuticals ltd,w3-2816,6198003666027,bn24-0188,2028-04-24,syrup,unknown,20 capsules,nigeria,Genuine,0
vitamin b complex,drugking industries,u9-591569,8888888888888,ias,27/04/2025,dorps,5mg,10 tablets,pakistan,Suspicious,1
cotrimoxazole,alphahealth industries,pending,6191641700535,unknown,???,tablte,500mg/5ml,10 tablets,china,Suspicious,1
ciprofloxacn,mopson pharmaceutiacl ltd,a-70,708428741,unknown,20/12/2026,suspension,125mg/5ml,30 tablets,china,Suspicious,1
metronidazole,pharma deko plc,w4-7230,6199357824347,l25-6525,2028-09-16,injection,250mg,100 tablets,nigeria,Genuine,0
lisinopril,tuyil pharmaceutical industries,c1-2398,6191615280988,b25-2102,2029-06-28,ointment,250mg/5ml,10 tablets,nigeria,Genuine,0
amoxicilin,biofix pharmaceuticals,xh-zhkf,w07tcdtabfs3m,??,UNKNOWN,craem,unknown,unknown,china,Suspicious,1
lisinopril,glaxosmithkline nigeria,f4-9876,6192554428677,b25-3313,2027-06-27,sachet,400mg,30 tablets,nigeria,Genuine,0
paracetmol,unknown,7viz75,7745998413376870,batch-959,19/02/2025,onitment,500mg,unknown,india,Suspicious,1
emzor paracetamol,pharma deko plc,e6-607504,0000000000000,unknown,???,powder,5mg,unknown,ghana,Suspicious,1
loperamide,skg pharma ltd,f6-5823,6199082771817,bt26-9052,2027-07-14,cream,50mg,10 tablets,nigeria,Genuine,0
antacid,swiss pharma nigeria ltd,i0-1893,6198427109476,l25-5682,2027-01-09,drops,250mg,20 tablets,nigeria,Genuine,0
fruosemide,supercure pharma,pvuh,hyjqguxxpcjeu,batch-071,2020-06-04,dorps,500mg/5ml,bulk,pakistan,Suspicious,1
azithromycin,pfizer nigeria,u3-2197,6196477251299,lot25-8746,2029-01-13,sachet,400mg,10 tablets,nigeria,Genuine,0
amoxicilin,drugfield pharmaceuticals ltd,p4-305552,54959,74,2023-10-24,capsule,500mg/5ml,20 tablets,pakistan,Suspicious,1
lonart,neimeth international pharmaceuticals,s9-1405,6193669332767,28,05/03/2026,ointment,50mg,1 pack,china,Suspicious,1
augmentin,tuyil pharmaceutical industries,f0-1884,6192839482325,bt24-4228,2026-05-09,drops,400mg,5 vials,nigeria,Genuine,0
prednisolone,drugfield pharmaceuticals ltd,u6-7399,4444444444444,uqq,21/07/2026,drops,250mg/5ml,bulk,ghana,Suspicious,1
coartem,dana pharmaceuticals ltd,h0-1396,6190370033228,b25-5391,2029-11-22,ointment,500mg,200ml bottle,nigeria,Genuine,0
unknown,hovid nigeria ltd,t0-1785,6191001676180,lot25-2608,2027-12-22,tablet,400mg,60ml bottle,nigeria,Genuine,0
erythromycin,swiss pharma nigeria ltd,f5-4983,6196488208930,lot26-6655,2027-10-02,ointment,100mg,10 capsules,nigeria,Genuine,0
ors,tuyil pharmaceutical industries,f8-2806,6197932302341,l25-1889,2027-02-10,capsule,20mg,20 tablets,nigeria,Genuine,0
emzor paracetamol,dana pharmaceuticals ltd,o1-2970,6198425476815,b24-6613,2027-03-27,suspension,500mg/5ml,10 tablets,nigeria,Genuine,0
artemether lumefantrine,bioraj pharmaceuticals ltd,z0-2847,6198498042535,l24-3191,2029-08-16,suspension,250mg,30 tablets,nigeria,Genuine,0
augmenti,pharmaplus international,x6-9812,6197482300972,nqesg,2021-07-15,syrup,125mg/5ml,30g tube,unknown,Suspicious,1
panado,emzor pharmaceutical industries,a9-4976,0000000000000,92,UNKNOWN,ointmnet,1g,200ml bottle,china,Suspicious,1
cotrimoxazole,chi pharmaceuticals ltd,j8-5549,6193379766272,bn25-1836,2026-06-23,drops,1g,10 capsules,nigeria,Genuine,0
amoxil,nigerian german chemicals plc,f0-3044,6197537030458,bt24-5067,2027-04-16,cream,500mg,10 capsules,nigeria,Genuine,0
coartem,emzor pharmaceutical industries,q3-8181,6198191907490,b24-1504,2029-05-02,tablet,20mg,1 vial,nigeria,Genuine,0
flagyl,fidson healthcare plc,f7-7194,6190250826117,bt24-1299,2027-07-04,ointment,200mg,1 tube,nigeria,Genuine,0
megavit plus,topnotch drugs ltd,none,8888888888888,batch-261,unknown,powder,50mg,20 capsules,ghana,Suspicious,1
glibenclamide,pfizer nigeria,x0-6450,6195295806605,bn24-8316,2027-12-09,capsule,100mg,100ml bottle,nigeria,Genuine,0
vitamin b complex,drugfield pharmaceuticals ltd,b8-3869,6196870568567,l24-5013,2029-03-25,powder,50mg,100 tablets,nigeria,Genuine,0
artemether lumefantrine,juhel nigeria ltd,q3-2194,6199971791100,bn25-5232,2026-03-02,drops,500mg,10 capsules,nigeria,Genuine,0
diclfoenac,pfizer ingeria,ze-htnk,0000000000000,batch-077,???,drops,250mg/5ml,60ml bottle,unknown,Suspicious,1
paracetamol,nigerian german chemicals plc,p7-7176,6192550325017,l24-6317,2028-05-05,ointment,100mg,10 capsules,nigeria,Genuine,0
augmentin,neimeth international pharmaceuticals,p9-5095,6191269789301,l25-6847,2028-12-11,syrup,500mg,20 capsules,nigeria,Genuine,0
metronidazole,bestpills international,nvkees,1111111111111,ndcyl,06/12/2025,capsuel,10mg,10 tablets,india,Suspicious,1
nifedipine,tuyil pharmaceutical industries,q6-7708,6199125177859,bt26-9730,2027-03-14,powder,500mg,20 tablets,nigeria,Genuine,0
multivitamin,swiss pharma nigeria ltd,t3-9593,6194401348084,l24-5713,2028-04-16,powder,250mg/5ml,200ml bottle,nigeria,Genuine,0
paracetmol,drugking industries,-3016,0000000000000,evejtjl,2021-09-16,powder,125mg/5ml,30g tube,pakistan,Suspicious,1
total cure tablets,curefast pharmaceuticals,w6n080,k1ykridbmxrfm,5,22/12/2025,drops,100mg,20 tablets,ghana,Suspicious,1
diazepam,may & baker nigeria plc,v7-1516,6197550476813,l26-9719,2028-11-16,tablet,20mg,10 tablets,nigeria,Genuine,0
chlorpheniramine,neimeth international pharmaceuticals,c2-2180,6196376182090,bn25-6391,2026-02-27,tablet,500mg/5ml,5 vials,nigeria,Genuine,0
power drug,pharma deko plc,5hwgpb,unknown,batch-068,unknown,tablet,50mg,20 capsules,ghana,Suspicious,1
instant relief caps,medexpress ltd,m0-3303,875480293,99,18/04/2026,suspension,100mg,10 tablets,unknown,Suspicious,1
multivitamin,glaxosmithkline nigeria,b8-1241,6191326773601,bt25-0135,2029-05-26,drops,400mg,60ml bottle,nigeria,Genuine,0
loperamide,neimeth international pharmaceuticals,c8-6115,6198520089439,lot26-7026,2026-12-02,cream,400mg,5 vials,nigeria,Genuine,0
doxycycline,bioraj pharmaceuticals ltd,g3-1953,6191981794690,lot25-8708,2028-03-20,sachet,50mg,200ml bottle,nigeria,Genuine,0
ciprofloxacin,mopson pharmaceutical ltd,z2-8862,6198730486257,bn25-3074,2026-08-23,injection,20mg,20 capsules,nigeria,Genuine,0
total cure tablets,pfizer nigeria,pending,xmwfq8js49ya1,batch-802,2022-08-07,drops,20mg,100 tablets,india,Suspicious,1
amoxil,wonderdrug co,d5-991114,6193307066672,uklvedzl,unknown,capsule,125mg/5ml,5 vials,ghana,Suspicious,1
atenolol,swiss pharma nigeria ltd,k3-9819,6199218785190,bt26-5807,2027-08-09,sachet,500mg,100ml bottle,nigeria,Genuine,0
total cure tablets,evans medical plc,m5-992060,6198463924880,unknown,???,suspension,unknown,bulk,unknown,Suspicious,1
ibuprofen,emzor pharmaceuticali ndustries,f0-8585,0000000000000,??,09/08/2026,suspension,unknown,1 vial,ghana,Suspicious,1
prednisolone,skg pharma ltd,n8-4149,6196289696455,lot25-6165,2028-04-11,powder,10mg,20 tablets,nigeria,Genuine,0
tetracycline,sanofi nigeria,m9-5066,6192591408496,b24-2969,2027-02-06,suspension,400mg,30g tube,nigeria,Genuine,0
lonart,hovid nigeria ltd,l3-8404,6194741124904,bt25-2530,2026-12-08,cream,20mg,200ml bottle,nigeria,Genuine,0
hydrocortisone,fidson healthcare plc,t1-3378,6196022132172,l25-2387,2026-02-20,capsule,250mg,20 tablets,nigeria,Genuine,0
cotrimoxazole,pharma deko plc,z8-6822,eo5uq4qlu9w4a,batch-893,14/12/2025,sachet,1g,10 capsules,unknown,Suspicious,1
ranitidine,tuyil pharmaceutical industries,y8-3525,6199456511810,bn24-3026,2026-04-04,drops,200mg,20 tablets,nigeria,Genuine,0
amoxil,swiss pharma nigeria ltd,l7-9845,6192841067275,lot24-0170,2028-11-23,injection,50mg,10 capsules,nigeria,Genuine,0
amoxicilin,curefast pharmaceuticals,-6093,6666666666666,82,10/03/2026,syurp,unknown,30g tube,pakistan,Suspicious,1
artemether lumefantrine,nigerian german chemicals plc,j4-3188,6190062987785,l24-5239,2028-12-13,ointment,400mg,60ml bottle,nigeria,Genuine,0
promethazine,swiss pharma nigeria ltd,o5-9396,6199551687403,b26-1034,2027-12-27,powder,500mg,30 tablets,nigeria,Genuine,0
metronidazol,curefast pharmaceuticals,c6-150539,10715558709404224,batch-305,2022-06-28,capsule,50mg,20 tablets,unknown,Suspicious,1
amatem,pharma deko plc,i0-9615,6198223095867,bt26-7915,2027-10-22,powder,125mg/5ml,30g tube,nigeria,Genuine,0
artemether lumefantrine,pharma deko plc,u7-2770,6197665122155,bn24-1251,2028-02-18,powder,400mg,30 tablets,nigeria,Genuine,0
amatem,evans medical plc,p3-254592,dauiobsny6mhb,unknown,unknown,sachte,500mg,100ml bottle,india,Suspicious,1
erythromycin,hovid nigeria ltd,u8-2161,6192282178196,bt24-6874,2028-04-27,injection,20mg,10 tablets,nigeria,Genuine,0
flagy,neimeth international pharmaceuticals,h-50,6193693010006,qedxfaw,unknown,syrup,50mg,5 vials,ghana,Suspicious,1
flagy,chi pharmaceuticalsl td,fe-bvyg,6197349852972,46,27/02/2026,syrup,500mg/5ml,1 tube,india,Suspicious,1
amatme,alphahealth industries,t3-5721,91294,batch-821,23/11/2025,injection,50mg,200ml bottle,ghana,Suspicious,1
cotrimoxazole,sanofi nigeria,jn-oapk,22750,89,22/01/2026,drops,250mg,100ml bottle,china,Suspicious,1
paracetamol,skg pharma ltd,e7-2596,6190336829636,lot24-3231,2026-06-27,cream,500mg,10 capsules,nigeria,Genuine,0
ibuprofen,pharma deko plc,z9-6279,6197773872140,b26-5591,2026-04-22,injection,200mg,30g tube,nigeria,Genuine,0
amoxil,mopson pharmaceutical ltd,n5-1924,6193334911419,lot24-0422,2028-01-15,ointment,1g,200ml bottle,nigeria,Genuine,0
floic acid,medline drugs ltd,not registered,84202435094765118,unknown,14/05/2025,sachet,1g,100 tablets,india,Suspicious,1
megavit plus,alphahealth industries,b7-7634,6195359771009,xhy,2022-10-09,suspension,???,10 capsules,china,Suspicious,1
magic cure pill,novadrug industries,not registered,42253939224257772774,batch-431,2022-03-03,capsuel,1g,unknown,nigeria,Suspicious,1
erythromycin,evans medical plc,r7-1691,6194947873002,bt25-5017,2029-02-21,injection,20mg,30 tablets,nigeria,Genuine,0
glibenclamide,emzor pharmaceutical industries,p8-3445,6196333738988,l26-7659,2028-02-11,suspension,20mg,30g tube,nigeria,Genuine,0
ranitidine,mopson pharmaceutical ltd,t8-9365,6193103032437,bt26-9145,2027-10-12,injection,100mg,1 tube,nigeria,Genuine,0
panadol,dana pharmaceuticals ltd,d4-2143,6193577594929,b26-6071,2028-07-06,tablet,10mg,100 tablets,nigeria,Genuine,0
artemether lumefantrine,tuyil pharmaceutical industries,unknown,6193325623895,b25-9649,2026-10-15,tablet,250mg,1 tube,nigeria,Genuine,0
doxycycline,curefast pharmaceuticals,owypn3,32237185921268485,unknown,03/02/2026,syrup,1g,60ml bottle,nigeria,Suspicious,1
amoxicilin,biofix pharmaceuticals,none,6197862902512,batch-132,2023-08-08,tablet,250mg,1 vial,nigeria,Suspicious,1
amoxicillin,pharma deko plc,h5-6156,6193730964965,b24-7708,2029-02-04,sachet,125mg/5ml,20 capsules,nigeria,Genuine,0
ciprofloxacn,sunrise medications,c0-2642,6196759149993,batch-877,02/04/2025,drops,unknown,10 capsules,india,Suspicious,1
tetracycline,bioraj pharmaceuticals ltd,r1-6228,6193714732108,lot25-6950,2027-03-27,cream,1g,1 tube,nigeria,Genuine,0
metformin,neimeth international pharmaceuticals,u9-6058,6193191654306,b26-9573,2028-03-08,capsule,100mg,10 tablets,nigeria,Genuine,0
doxycycline,bioraj pharmaceuticals ltd,j4-3788,6194648849979,b25-7276,2027-09-12,drops,10mg,5 vials,nigeria,Genuine,0
ors,may & baker nigeria plc,u7-3812,6192113869088,l24-6487,2029-03-06,capsule,500mg,30g tube,nigeria,Genuine,0
atenolol,healwell pharma ltd,unknown,5555555555555,batch-344,UNKNOWN,syrup,200mg,200ml bottle,pakistan,Suspicious,1
ciprofloxacn,hovid nigeria ltd,k3-8186,6198667155448,unknown,08/10/2025,ointment,???,200ml bottle,ghana,Suspicious,1
tramadol,sanofi nigeria,l1-3824,6193972835122,b25-9504,2027-08-23,syrup,5mg,30 tablets,nigeria,Genuine,0
diclofenac,medexpress ltd,a0-1453,0000000000000,88,16/06/2025,capslue,50mg,100 tablets,india,Suspicious,1
cotrimoxazole,bioraj pharmaceuticals ltd,z1-9099,6192031369554,bt26-6502,2027-12-01,sachet,125mg/5ml,30 tablets,nigeria,Genuine,0
tramadol,fidson healthcare plc,p7-9368,6195079252413,b26-1989,2027-12-17,tablet,500mg,10 tablets,nigeria,Genuine,0
spironolactone,bioraj pharmaceuticals ltd,y3-7439,6199235348484,l25-7457,2026-09-06,capsule,200mg,1 vial,nigeria,Genuine,0
augmentin,pharmafast nigeria,e7-8326,0000000000000,batch-978,UNKNOWN,ointment,unknown,1 pack,india,Suspicious,1
panado,quickcure labs,vd-xoym,2770354,---,27/04/2025,drops,???,5 vials,nigeria,Suspicious,1
omeprazole,mopson pharmaceutical ltd,n6-7869,6199541329719,lot24-7237,2029-07-05,ointment,50mg,10 tablets,nigeria,Genuine,0
panadol,dana pharmaceuticals ltd,u2-3406,6199031028795,lot24-9167,2027-01-23,injection,400mg,10 tablets,nigeria,Genuine,0
coartem,pharma deko plc,v9-6074,6193460666436,l25-9932,2026-11-23,ointment,500mg,1 tube,nigeria,Genuine,0
